,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
freeljo01,freeljo01,Joel Freeland,,Power Forward-Center,6'10,82,6,10,250,Right,,Farnham Heath End School,Portland Trail Blazers,1st round 30th pick 30th overall,30,1,30,11/2/12,1 year,1,2/7/87,1987,26,26y 0m 303d 12H 0M 0S,"Farnham, United Kingdom",Farnham,,United Kingdom,"Farnham, United Kingdom",Farnham,United Kingdom,19,"Signed July 13, 2012 for an assumed $8.925,000 for 3 years.  Signing bonus of $1,338,000 counts as $446,000 in each year of the contract.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-2014",http://www.basketball-reference.com/players/f/freeljo01.html,12/7/13 15:54
fryech01,fryech01,Channing Thomas Frye,@Channing_Frye,Power Forward-Center,6'11,83,6,11,248,Right,University of Arizona,Saint Marys,New York Knicks,1st round 8th pick 8th overall,8,1,8,11/4/05,7 years,7,5/17/83,1983,30,30y 0m 204d 12H 0M 0S,"White Plains, New York",White Plains,New York,USA,"Phoenix, Arizona",Phoenix,Arizona,7;44;8;8,"Signed July 8, 2010 for an assumed $30,000,000 for 6 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2008-2009-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2010-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/f/fryech01.html,12/7/13 15:54
garcifr01,garcifr01,Francisco Alberto Garcia,,Small Forward-Shooting Guard,6'7,79,6,7,195,Right,University of Louisville,Winchendon School,Sacramento Kings,1st round 23rd pick 23rd overall,23,1,23,11/1/05,8 years,8,12/31/81,1981,31,31y 0m 341d 6H 0M 0S,"Santo Domingo, Dominican Republic",Santo Domingo,,Dominican Republic,"Winchendon, Massachusetts",Winchendon,Massachusetts,32;32,"Signed July 31, 2013 for an assumed minimum salary for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2006-2013-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-2014",http://www.basketball-reference.com/players/g/garcifr01.html,12/7/13 15:54
garneke01,garneke01,Kevin Maurice Garnett,,Power Forward-Center-Small Forward,6'11,83,6,11,220,Right,,Farragut Career Academy,Minnesota Timberwolves,1st round 5th pick 5th overall,5,1,5,11/3/95,18 years,18,5/19/76,1976,37,37y 0m 201d 18H 0M 0S,"Mauldin, South Carolina",Mauldin,South Carolina,USA,"Chicago, Illinois",Chicago,Illinois,21;21;5;2,"Signed July 14, 2012 for an assumed $36,010,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#008000;-Minnesota Timberwolves, 1996-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 1997-2007-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2008-2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/g/garneke01.html,12/7/13 15:54
garredi02,garredi02,Diante Garrett,@kingarrett10,Point Guard,6'4,76,6,4,190,Right,Iowa State University,Vincent,,,,,,11/5/12,1 year,1,11/3/88,1988,25,25y 0m 33d 18H 0M 0S,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,USA,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,10;8,"Signed November 13, 2013 for an assumed minimum salary for 3 years.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2014",http://www.basketball-reference.com/players/g/garredi02.html,12/7/13 15:54
gasolma01,gasolma01,Marc Gasol,@MarcGasol,Center,7'1,85,7,1,265,Right,,,Los Angeles Lakers,2nd round 18th pick 48th overall,48,2,18,10/29/08,5 years,5,1/29/85,1985,28,28y 0m 312d 0H 0M 0S,"Barcelona, Spain",Barcelona,,Spain,,,,33,"Signed December 12, 2011 for an assumed $57,503,764 for 4 years.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2009-2014",http://www.basketball-reference.com/players/g/gasolma01.html,12/7/13 15:54
gasolpa01,gasolpa01,Pau Gasol,,Center-Power Forward,7'0,84,7,0,227,Right,,,Atlanta Hawks,1st round 3rd pick 3rd overall,3,1,3,11/1/01,12 years,12,7/6/80,1980,33,33y 0m 153d 18H 0M 0S,"Barcelona, Spain",Barcelona,,Spain,,,,16;16;16,"Signed extension on December 23, 2009 for an assumed $57,000,000 for 3 years starting in 2011-12.  Contract has a 15% trade kicker.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#40e0d0;-Memphis Grizzlies, 2002-2004-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2005-2008-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2008-2014",http://www.basketball-reference.com/players/g/gasolpa01.html,12/7/13 15:54
gayru01,gayru01,Rudy Carlton Gay Jr.,@rudygay22,Small Forward,6'9,81,6,9,220,Right,University of Connecticut,Archbishop Spalding,Houston Rockets,1st round 8th pick 8th overall,8,1,8,11/1/06,7 years,7,8/17/86,1986,27,27y 0m 112d 6H 0M 0S,"Baltimore, Maryland",Baltimore,Maryland,USA,"Severn, Maryland",Severn,Maryland,22;22,"Signed July 8, 2010 for an assumed $82,302,688 for 5 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2007-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-2014",http://www.basketball-reference.com/players/g/gayru01.html,12/7/13 15:54
geeal01,geeal01,Alonzo Edward Gee,@GeeAlonzo,Shooting Guard-Small Forward,6'6,78,6,6,220,Right,University of Alabama,William T Dwyer,,,,,,3/11/10,4 years,4,5/29/87,1987,26,26y 0m 192d 12H 0M 0S,"Riviera Beach, Florida",Riviera Beach,Florida,USA,"Palm Beach Gardens, Florida",Palm Beach Gardens,Florida,24;23;15;33,"Signed September 10, 2012 for an assumed $9,750,000 for 3 years.  2014-15 is not fully guaranteed.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2011-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2011-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2011-2014",http://www.basketball-reference.com/players/g/geeal01.html,12/7/13 15:54
georgpa01,georgpa01,Paul George,@King24George,Small Forward-Shooting Guard,6'8,80,6,8,210,Right,"California State University, Fresno",Knight,Indiana Pacers,1st round 10th pick 10th overall,10,1,10,10/27/10,3 years,3,5/2/90,1990,23,23y 0m 219d 6H 0M 0S,"Palmdale, California",Palmdale,California,USA,"Palmdale, California",Palmdale,California,24,"Signed July 1, 2010.  Team Option for 2012-13 picked up on June 24, 2011.  Team Option for 2013-14 picked up on October 22, 2012.  Extension amounts listed here are for 2013-14 maximum amounts and need to be updated when true figures are known.  Signed extension on September 25, 2013 for a maximum amount for 5 years starting in 2014-15.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2011-2014",http://www.basketball-reference.com/players/g/georgpa01.html,12/7/13 15:54
gibsota01,gibsota01,Taj Jami Gibson,@TajGibson22,Power Forward,6'9,81,6,9,225,Right,University of Southern California,Calvary Christian,Chicago Bulls,1st round 26th pick 26th overall,26,1,26,10/29/09,4 years,4,6/24/85,1985,28,28y 0m 166d 0H 0M 0S,"Brooklyn, New York",Brooklyn,New York,USA,"San Fernando, California",San Fernando,California,22,"Signed extension on October 31, 2012 for an assumed $33,000,000 plus incentives for 4 years starting in 2013-14.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2010-2014",http://www.basketball-reference.com/players/g/gibsota01.html,12/7/13 15:54
ginobma01,ginobma01,Emanuel David Ginobili,@manuginobili,Shooting Guard,6'6,78,6,6,210,Left,,,San Antonio Spurs,2nd round 28th pick 57th overall,57,2,28,10/29/02,11 years,11,7/28/77,1977,36,36y 0m 132d 0H 0M 0S,"Bahia Blanca, Argentina",Bahia Blanca,,Argentina,,,,20,"Signed July 11, 2013 for an assumed $14,500,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2003-2014",http://www.basketball-reference.com/players/g/ginobma01.html,12/7/13 15:54
goberru01,goberru01,Rudy Gobert,,Center,7'1,85,7,1,220,Right,,,Denver Nuggets,1st round 27th pick 27th overall,27,1,27,NA,Rookie,0,6/26/92,1992,21,21y 0m 163d 18H 0M 0S,"Saint-Quentin, France",Saint-Quentin,,France,,,,27,"Signed July 3, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2014",http://www.basketball-reference.com/players/g/goberru01.html,12/7/13 15:54
gomesry01,gomesry01,Ryan Anthony Gomes,@GotGomes,Small Forward-Power Forward,6'7,79,6,7,250,Right,Providence College,Wilby,Boston Celtics,2nd round 20th pick 50th overall,50,2,20,11/2/05,7 years,7,9/1/82,1982,31,31y 0m 97d 6H 0M 0S,"Waterbury, Connecticut",Waterbury,Connecticut,USA,"Waterbury, Connecticut",Waterbury,Connecticut,4;8;15;8,"Signed August 7, 2013 for an assumed minimum salary for 1 year.  2013-14 is partially guaranteed for $50,000 if waived between October 1, 2013 and the start of the regular season, partially guaranteed for $75,000 after that.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2006-2007-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2008-2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2014",http://www.basketball-reference.com/players/g/gomesry01.html,12/7/13 15:54
goodwar01,goodwar01,Archie Lee Goodwin,,Shooting Guard,6'5,77,6,5,198,Right,University of Kentucky,Sylvan Hills,Oklahoma City Thunder,1st round 29th pick 29th overall,29,1,29,NA,Rookie,0,8/17/94,1994,19,19y 0m 112d 6H 0M 0S,"Little Rock, Arkansas",Little Rock,Arkansas,USA,"Sherwood, Arkansas",Sherwood,Arkansas,20,"Signed July 12, 2013.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/g/goodwar01.html,12/7/13 15:54
gordobe01,gordobe01,Benjamin Gordon,@BenGordon8,Shooting Guard,6'3,75,6,3,200,Right,University of Connecticut,Mount Vernon,Chicago Bulls,1st round 3rd pick 3rd overall,3,1,3,11/5/04,9 years,9,4/4/83,1983,30,30y 0m 247d 12H 0M 0S,"London, United Kingdom",London,,United Kingdom,"Mount Vernon, New York",Mount Vernon,New York,7;7;8;8,"Signed July 8, 2009 for an assumed $58,000,000 plus incentives for 5 years.  Player Option for 2013-14 was picked up on June 28, 2013.  2013-14 has up to $400,000 in unlikely incentives not included here.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2005-2009-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2010-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/g/gordobe01.html,12/7/13 15:54
gordoer01,gordoer01,Eric Gordon Jr.,@TheofficialEG10,Shooting Guard-Point Guard,6'3,75,6,3,222,Right,Indiana University,North Central,Los Angeles Clippers,1st round 7th pick 7th overall,7,1,7,10/29/08,5 years,5,12/25/88,1988,24,24y 0m 347d 0H 0M 0S,"Indianapolis, Indiana",Indianapolis,Indiana,USA,"Indianapolis, Indiana",Indianapolis,Indiana,10;10;10,"Signed offer sheet on July 11, 2012 for an assumed $58,365,563 for 4 years.  Offer sheet matched by the Hornets.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2009-2011-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/g/gordoer01.html,12/7/13 15:54
gortama01,gortama01,Marcin Gortat,@MGortat,Center-Power Forward,6'11,83,6,11,240,Right,,,Phoenix Suns,2nd round 27th pick 57th overall,57,2,27,3/1/08,6 years,6,2/17/84,1984,29,29y 0m 293d 18H 0M 0S,"Lodz, Poland",Lodz,,Poland,,,,13;4;4,"Matched offer sheet that was signed on July 9, 2009 for an assumed $33,953,200 for 5 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2008-2011-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2011-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2014",http://www.basketball-reference.com/players/g/gortama01.html,12/7/13 15:54
grayaa01,grayaa01,Aaron Michael Gray,,Center,7'0,84,7,0,270,Right,University of Pittsburgh,Emmaus,Chicago Bulls,2nd round 19th pick 49th overall,49,2,19,11/2/07,6 years,6,12/7/84,1984,28,28y 0m 365d 0H 0M 0S,"Tarzana, California",Tarzana,California,USA,"Emmaus, Pennsylvania",Emmaus,Pennsylvania,34;34;34,"Signed July 27, 2012 for an assumed $5,265,875 for 2 years.  Player Option for 2013-14 was picked up on May 13, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2008-2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2010-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2012-2014",http://www.basketball-reference.com/players/g/grayaa01.html,12/7/13 15:54
greenda02,greenda02,Daniel Richard Green Jr.,@DGreen_14,Shooting Guard,6'6,78,6,6,210,Right,University of North Carolina,St Marys,Cleveland Cavaliers,2nd round 16th pick 46th overall,46,2,16,11/12/09,4 years,4,6/22/87,1987,26,26y 0m 168d 12H 0M 0S,"North Babylon, New York",North Babylon,New York,USA,"Manhasset, New York",Manhasset,New York,14;4,"Signed July 11, 2012 for an assumed $11,287,500 for 3 years.","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#8b7500;-Cleveland Cavaliers, 2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2011-2014",http://www.basketball-reference.com/players/g/greenda02.html,12/7/13 15:54
greendr01,greendr01,Draymond Jamal Green,@Money23Green,Small Forward,6'7,79,6,7,230,Right,Michigan State University,Saginaw,Golden State Warriors,2nd round 5th pick 35th overall,35,2,5,10/31/12,1 year,1,3/4/90,1990,23,23y 0m 278d 6H 0M 0S,"Saginaw, Michigan",Saginaw,Michigan,USA,"Saginaw, Michigan",Saginaw,Michigan,23,"Signed August 3, 2012 for an assumed $2,640,743 for 3 years.  2014-15 is partially guaranteed for $250,000.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2013-2014",http://www.basketball-reference.com/players/g/greendr01.html,12/7/13 15:54
greenge01,greenge01,Gerald Green,,Small Forward-Shooting Guard,6'8,80,6,8,200,Right,,Gulf Shores Academy,Boston Celtics,1st round 18th pick 18th overall,18,1,18,2/3/06,6 years,6,1/26/86,1986,27,27y 0m 315d 6H 0M 0S,"Houston, Texas",Houston,Texas,USA,"Houston, Texas",Houston,Texas,5;15;25;8;14;25;14,"Signed July 12, 2012 for an assumed $10,500,000 for 3 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2006-2007-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2008-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2008-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2009-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/g/greenge01.html,12/7/13 15:54
greenje02,greenje02,Jeffrey Lynn Green,@jeff_green22,Power Forward-Small Forward,6'9,81,6,9,235,Right,Georgetown University,Northwestern,Boston Celtics,1st round 5th pick 5th overall,5,1,5,10/31/07,5 years,5,8/28/86,1986,27,27y 0m 101d 6H 0M 0S,"Cheverly, Maryland",Cheverly,Maryland,USA,"Hyattsville, Maryland",Hyattsville,Maryland,22;22;8,"Signed August 22, 2012 for an assumed $35,200,000 plus incentives for 4 years.  2014-15 and 2015-16 each have up to $245,000 in unlikely incentives not included in Cap Hit.  2013-14 has up to $265,000 in unlikely incentives not included in Cap Hit.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2008-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2009-2011-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2011-2014",http://www.basketball-reference.com/players/g/greenje02.html,12/7/13 15:54
greenwi01,greenwi01,Willie J. Green,@Willie_Green,Shooting Guard,6'4,76,6,4,200,Right,University of Detroit Mercy,Cooley,Seattle SuperSonics,2nd round 12th pick 41st overall,41,2,12,10/28/03,10 years,10,7/28/81,1981,32,32y 0m 132d 0H 0M 0S,"Detroit, Michigan",Detroit,Michigan,USA,"Detroit, Michigan",Detroit,Michigan,33;33;33;33;34,"Signed July 30, 2012 for an assumed $4,222,997 for 3 years.  2014-15 is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2004-2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2013-2014",http://www.basketball-reference.com/players/g/greenwi01.html,12/7/13 15:54
griffbl01,griffbl01,Blake Austin Griffin,@blakegriffin,Power Forward,6'10,82,6,10,251,Right,University of Oklahoma,Oklahoma Christian School,Los Angeles Clippers,1st round 1st pick 1st overall,1,1,1,10/27/10,3 years,3,3/16/89,1989,24,24y 0m 266d 0H 0M 0S,"Oklahoma City, Oklahoma",Oklahoma City,Oklahoma,USA,"Edmond, Oklahoma",Edmond,Oklahoma,32,"Signed extension on July 11, 2012 for the maximum amount available for 5 years that starts in 2013-14.  Extension includes a 15% trade kicker.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-2014",http://www.basketball-reference.com/players/g/griffbl01.html,12/7/13 15:54
